# f, Suu, Svv, Sww
7.513212398228824584e-02 1.772184280078613686e-02 1.669558787397140351e-02 5.197496537094645035e-03
7.541779745750606945e-02 3.515664322077158982e-02 2.547626626507043524e-02 6.199307494547275782e-03
7.570347093272389305e-02 3.011612623389011908e-02 3.194003533802596689e-02 7.373928838663763516e-03
7.598914440794171665e-02 1.762046904415935297e-02 1.379823274863257662e-02 6.904656043006393053e-03
7.627481788315955413e-02 2.193315790977842794e-02 2.414343387217920620e-02 7.373542269768832563e-03
7.656049135837737774e-02 2.777858942505430362e-02 2.192140683382411137e-02 7.336438362518731861e-03
7.684616483359520134e-02 2.667371482220276535e-02 1.731573564149075858e-02 4.524981739670685781e-03
7.713183830881302494e-02 2.803583206335818340e-02 1.307138807679704418e-02 7.932461744416245686e-03
7.741751178403084854e-02 1.676074805468020026e-02 1.301469012856844298e-02 9.030134807757498466e-03
7.770318525924867215e-02 2.475943682301856574e-02 1.249072796898395912e-02 5.840760926779453924e-03
7.798885873446650963e-02 2.199743111809212767e-02 6.842143998628075381e-03 6.691091819426165516e-03
7.827453220968433323e-02 1.331925980557912073e-02 5.595960163614749003e-03 6.076736334479723549e-03
7.856020568490215683e-02 2.504996246514694380e-02 1.218225396564115610e-02 9.912877893306526467e-03
7.884587916011998043e-02 1.213074815409270063e-02 1.088031829391958999e-02 1.453933748887507697e-02
7.913155263533780404e-02 2.258839452740103032e-02 2.002565773308102176e-02 1.458086349324086775e-02
7.941722611055564152e-02 2.539676089115348867e-02 1.644027970928495230e-02 9.565308314946063817e-03
7.970289958577346512e-02 3.357386225812376834e-02 1.705437057707161891e-02 6.399569817305741232e-03
7.998857306099128872e-02 1.981444019627161615e-02 1.231885845915637982e-02 8.776555696194072997e-03
8.027424653620911232e-02 3.193421666471610298e-02 1.548801664128279104e-02 1.122536992328904831e-02
8.055992001142693593e-02 2.265105387713402252e-02 1.912970150629721144e-02 1.171341526449186377e-02
8.084559348664475953e-02 1.615112547986391825e-02 9.491912935812489918e-03 6.800083733726506804e-03
8.113126696186259701e-02 2.527995469010578533e-02 1.832890637958999036e-02 8.355308557806525455e-03
8.141694043708042061e-02 1.944660525661268818e-02 1.599553276799725934e-02 1.328357121695062683e-02
8.170261391229824421e-02 3.366109748951572056e-02 2.936696989699158836e-02 9.195095851039121471e-03
8.198828738751606782e-02 2.332341717787803428e-02 3.084523442195484175e-02 9.722678850284926025e-03
8.227396086273389142e-02 1.895467314280604998e-02 1.517489294357971842e-02 1.008093062434795191e-02
