# z, uT, vT, wT

# time = 0.0-1.0 hrs
5.500000000000000000e+02 2.704413521724288154e-07 1.790218178977441194e-05 6.794675584389861189e-07
5.700000000000000000e+02 -1.225767411598909074e-06 2.031924741142908522e-05 6.224654204446914475e-07
5.900000000000000000e+02 -1.197382095693311418e-06 1.638893399015663816e-05 3.082884331606055961e-07
6.100000000000000000e+02 -1.022598764728470279e-06 1.399739830278681822e-05 2.254337317538316183e-07
6.300000000000000000e+02 -3.573641595845727649e-07 1.099739929123998478e-05 4.025092468979383042e-08
6.500000000000000000e+02 -9.510158041346166180e-08 8.414761904297857623e-06 -4.715481775051448817e-08
6.700000000000000000e+02 -1.777208569236724759e-07 5.021811915374708799e-06 -1.352813412133927705e-07
6.900000000000000000e+02 2.370911169223719942e-08 3.794802768300776267e-06 -5.058155580269242318e-08
7.100000000000000000e+02 1.961784605920130842e-07 3.034686719753272046e-06 -3.972047215846567586e-08
7.300000000000000000e+02 3.027550041480042653e-07 2.669566164270435918e-06 -2.609274725807705848e-08
7.500000000000000000e+02 4.113078406938031996e-07 1.716097102621497763e-06 -4.436100748757383813e-08
7.700000000000000000e+02 3.538189027021090132e-07 4.166670992717194310e-07 -7.777988089200654585e-08
7.900000000000000000e+02 9.237871687269714395e-08 2.786129696728189709e-07 -6.250264695764613303e-08
8.200000000000000000e+02 3.914925324987399279e-07 3.988932121485841359e-07 -3.699701101798649041e-08
8.600000000000000000e+02 2.047019614713522818e-07 2.497209112951286305e-07 -8.683152735067982695e-09
9.000000000000000000e+02 2.336064035141668597e-08 1.546123921241888747e-07 -1.447593489629882914e-08
9.400000000000000000e+02 9.911784276214242894e-08 1.620140585301083001e-07 -3.793393849396756468e-09
9.800000000000000000e+02 1.497525877102929130e-07 1.397722041880967830e-07 -4.085309471960439968e-11
1.020000000000000000e+03 1.596596622912623173e-07 1.012025755868418859e-07 6.004333262723479481e-09
1.060000000000000000e+03 1.411371305008170944e-07 5.662646303919257742e-08 -2.475987441676985048e-09
1.100000000000000000e+03 6.101136651509553884e-08 3.574351647511841251e-08 -1.203644618210660783e-09
1.160000000000000000e+03 1.272266842641786940e-07 3.095858830842180931e-08 5.301809191265304916e-09
1.240000000000000000e+03 1.263577592515748452e-07 3.849991910541926352e-08 1.985592516784352349e-09
1.320000000000000000e+03 8.961284004045441111e-08 3.412208250775299935e-08 -2.749871089287052547e-10
1.400000000000000000e+03 5.117941569242483849e-08 2.740676208023374877e-08 -4.394598843885882248e-09
1.480000000000000000e+03 2.365459826319052070e-08 1.517877292197333021e-08 -2.369745515812217316e-09
1.560000000000000000e+03 1.750847616592581000e-08 8.867885499332348079e-09 -1.782248522545872859e-09
1.640000000000000000e+03 1.316559624520018002e-08 4.589133075310021090e-09 -1.211729224808299728e-09
1.720000000000000000e+03 6.421777595906149752e-09 2.442699518736297343e-09 -6.262456301240279328e-10
1.800000000000000000e+03 2.240978948500128740e-09 1.241946195505970606e-09 -2.842179449144009444e-10
1.880000000000000000e+03 1.881728135826913371e-09 4.076665946975559154e-10 -2.244827539684323676e-10
1.960000000000000000e+03 1.716747375489104330e-09 4.105160455016334261e-11 -1.750513718240725352e-10
2.040000000000000000e+03 1.311058767796917886e-09 -3.255629098361666831e-12 -1.172613280481795564e-10
2.120000000000000000e+03 7.685432206115619114e-10 2.881984748880428901e-10 -7.749591887773953272e-11
2.200000000000000000e+03 4.345922022999892629e-10 4.136472090617223552e-10 -4.984610012546480229e-11
2.280000000000000000e+03 3.813607464460150298e-10 2.741942790021124192e-10 -3.545237087583163683e-11
2.360000000000000000e+03 3.352025855531108886e-10 1.321792509855514715e-10 -2.576347064097583943e-11
