# z, uT, vT, wT

# time = 0.0-1.0 hrs
7.650000000000000000e+02 -8.200020566316561926e-03 1.245800071307617309e-02 4.551090437446404606e-05
7.750000000000000000e+02 -8.324992549585843657e-03 1.210152648556521264e-02 5.980138732801589831e-05
7.850000000000000000e+02 -9.004736540476444145e-03 1.195478166686271201e-02 5.518002370544580629e-05
7.950000000000000000e+02 -8.255444915970713143e-03 1.165601418119125397e-02 3.084829455629560101e-05
8.050000000000000000e+02 -5.782433013111399137e-03 1.068174758815811781e-02 2.622515487511504567e-05
8.150000000000000000e+02 -4.446783455100514725e-03 1.012406479965896611e-02 2.897401526107174126e-05
8.250000000000000000e+02 -4.501586917128643991e-03 9.956064854209153644e-03 4.181731967336865896e-07
8.350000000000000000e+02 -4.351708360877730615e-03 9.442196875126356720e-03 -4.962251806009617842e-06
8.450000000000000000e+02 -4.214781280139242442e-03 9.037480884472920764e-03 -9.331700116933004197e-06
8.550000000000000000e+02 -3.997328537811042741e-03 8.815936578374029137e-03 6.620317904062359941e-06
8.650000000000000000e+02 -3.849010741223165676e-03 8.477437250054701764e-03 1.077751981074710277e-05
8.750000000000000000e+02 -4.071837500024680541e-03 8.260499549644534020e-03 1.021125256223972011e-05
8.850000000000000000e+02 -4.596662006589167203e-03 8.275688750735652258e-03 1.092170738844702385e-06
8.950000000000000000e+02 -3.714012948282675516e-03 8.024267589611224286e-03 -1.150643048791501392e-05
9.050000000000000000e+02 -1.508137257247577512e-03 7.472456928387417874e-03 -2.264110640620488086e-05
9.150000000000000000e+02 -5.342494423828860611e-04 7.306568908953701633e-03 -3.387470599715663831e-05
9.250000000000000000e+02 -6.000847833693017958e-04 7.433855309267690080e-03 -2.596822139794033134e-05
9.350000000000000000e+02 -7.961770661481787489e-04 7.250625404545210824e-03 -1.561980069034746361e-05
9.450000000000000000e+02 -8.434349395811791385e-04 7.160128905165372322e-03 -1.444083224166425450e-05
9.550000000000000000e+02 -3.982828398022442585e-04 7.154568017270108125e-03 -2.225524255893826980e-05
9.650000000000000000e+02 5.679767445813981496e-05 7.229872899098143194e-03 -3.551659263374089254e-05
9.750000000000000000e+02 2.909869829729414556e-04 7.113571474272254239e-03 -2.799635177896670889e-05
9.850000000000000000e+02 2.795351426465396264e-04 6.875453368607617639e-03 -1.327292345833520374e-05
9.950000000000000000e+02 2.435047212299384478e-04 6.788479144959455938e-03 -4.227785121014056635e-06
1.005000000000000000e+03 2.263310603510878952e-04 6.854304812144460489e-03 -1.919598957738601947e-05
1.015000000000000000e+03 3.770315534786729977e-04 7.092778522120242110e-03 -6.083060622304559938e-06
1.025000000000000000e+03 5.158074427909940460e-04 7.279692247703762817e-03 -2.326092041535338762e-05
1.035000000000000000e+03 5.073478683017365078e-04 7.206342516554158951e-03 -5.118433023608232534e-05
1.045000000000000000e+03 1.986371353256406426e-05 6.851025267348659006e-03 -1.150908389550449894e-05
1.055000000000000000e+03 -1.370305542222949530e-03 5.891410902487841973e-03 -1.166365379499142043e-05
1.065000000000000000e+03 -2.106758821386890169e-03 5.500861286062959030e-03 -2.919096681078310758e-05
1.075000000000000000e+03 -2.053532961509923604e-03 5.546061188864812377e-03 -4.067844590743676048e-05
1.085000000000000000e+03 -2.012578283616582586e-03 5.674886530548611634e-03 -3.917514032776725919e-05
1.095000000000000000e+03 -2.114992978270887908e-03 5.565840063148237357e-03 -2.223235126042012386e-05
1.105000000000000000e+03 -2.606109574131083070e-03 5.054393066603483919e-03 -1.083816241209625542e-05
1.115000000000000000e+03 -2.824782523528210007e-03 4.618473583567405012e-03 -2.388667097577043639e-05
1.125000000000000000e+03 -2.772686762932657922e-03 4.640939059685315025e-03 -4.601794367341344253e-05
1.135000000000000000e+03 -2.558442513260957788e-03 4.657515239639066496e-03 -3.034622973239833752e-05
1.145000000000000000e+03 -2.466156078683273602e-03 4.346732492465679200e-03 -3.071417071803441291e-05
1.155000000000000000e+03 -2.549741971531337050e-03 4.417034883043471916e-03 -2.819915170886716087e-05
1.165000000000000000e+03 -2.414658795962243247e-03 4.422807251141883285e-03 -3.006100744991582226e-05
1.175000000000000000e+03 -2.541647073130817551e-03 4.477496640060028496e-03 6.743338319630509377e-06
1.185000000000000000e+03 -3.022460799458350465e-03 4.487207828084338081e-03 -3.539582550735504178e-05
1.195000000000000000e+03 -3.611581661690018309e-03 4.679261135547797476e-03 -8.071736198723198470e-05
1.210000000000000000e+03 -2.894996004644967078e-03 4.812619847256906745e-03 -3.629795709779543521e-05
1.230000000000000000e+03 -3.034990482687451637e-03 4.998279745959090074e-03 3.018459334033957275e-05
1.250000000000000000e+03 -3.033871633749777100e-03 5.240189701596705343e-03 -1.790786648998243284e-05
1.270000000000000000e+03 -2.766396636049643903e-03 4.878074096968879579e-03 -9.417706158120074027e-05
1.290000000000000000e+03 -1.917544619869718031e-03 3.676914737772660115e-03 -5.996747516708106693e-05
1.310000000000000000e+03 -1.158557703139227778e-03 2.339569427295934423e-03 -3.802658671510117009e-05
1.330000000000000000e+03 -7.946306524114349346e-04 1.648805589556935321e-03 -3.782722317665373444e-05
1.350000000000000000e+03 -6.820756537438169790e-04 1.414845737511578579e-03 -4.429957366139555786e-05
1.370000000000000000e+03 -5.954492396226921964e-04 1.173510762318714234e-03 -4.352683400609538231e-05
1.390000000000000000e+03 -6.252206765921746552e-04 1.132965095866069307e-03 -4.140386187551675277e-05
1.410000000000000000e+03 -6.350364441218357258e-04 1.101474822759304769e-03 -4.240088812414036581e-05
1.430000000000000000e+03 -6.262705389915880754e-04 1.051151749701264345e-03 -4.014743072589792175e-05
1.450000000000000000e+03 -6.282164888600724490e-04 1.037282538753021843e-03 -4.032964062144582388e-05
1.470000000000000000e+03 -6.213464487473241817e-04 1.020171607548873895e-03 -4.409949799731090219e-05
1.490000000000000000e+03 -6.221431692052520465e-04 1.001205679378740568e-03 -4.065386838782726180e-05
1.510000000000000000e+03 -5.903217190433055709e-04 9.558355772134047171e-04 -4.327873421262108135e-05
1.540000000000000000e+03 -6.138430600563343472e-04 9.907117669936855997e-04 -3.823825492080369984e-05
1.580000000000000000e+03 -5.003525982897437255e-04 9.118990906471992515e-04 -3.098416615921212872e-05
1.620000000000000000e+03 -3.024389099830864761e-04 6.733585086812852311e-04 -2.189514554477393215e-05
1.660000000000000000e+03 -1.758263467270812844e-04 4.809207407322412474e-04 -1.760071896124247373e-05
1.700000000000000000e+03 -1.393292788758631782e-04 3.842209038390885924e-04 -1.555674708649725109e-05
1.740000000000000000e+03 -1.443927726996198878e-04 3.482108278593898203e-04 -1.444882079758315127e-05
1.780000000000000000e+03 -1.494954280756852281e-04 3.164366775347424664e-04 -1.265566224004323600e-05
1.820000000000000000e+03 -1.566146952408641079e-04 2.866987926126287408e-04 -1.274327068595342187e-05
1.880000000000000000e+03 -1.546161288652186515e-04 2.505723715129797350e-04 -8.899831649165917488e-06
1.960000000000000000e+03 -1.505860008294160693e-04 2.054499574235411007e-04 -5.410873903861153868e-06
2.040000000000000000e+03 -1.171888440249312888e-04 1.625751787469516285e-04 -1.392349268318229420e-06
2.120000000000000000e+03 -6.961649401743154190e-05 1.343801980688703033e-04 4.315423770115023418e-07
2.200000000000000000e+03 -1.859791240141377882e-05 1.359140862691330591e-04 -1.527377203709988603e-07
2.280000000000000000e+03 5.639556773847541815e-05 1.719572301500538615e-04 2.332957551818616644e-07
2.360000000000000000e+03 1.427454009414365213e-04 2.735007474909320873e-04 7.732724369270145998e-07
2.440000000000000000e+03 3.097496068437359117e-04 5.021369374332313330e-04 1.007493878587930773e-05
2.520000000000000000e+03 -1.220457134418530411e-04 5.226903841399757134e-04 1.039955553556813770e-05
2.600000000000000000e+03 -1.704996435426868679e-03 4.063372681678860052e-04 7.411298809588293081e-06
2.680000000000000000e+03 -1.064174181254626088e-03 8.907338935946660340e-04 3.967982066104862928e-05
2.760000000000000000e+03 -4.293342643917039169e-04 1.594789363875777919e-03 -8.341048695626734487e-05
2.840000000000000000e+03 -8.160132439539197202e-03 4.288166771863112861e-03 7.418090047436311186e-04
2.920000000000000000e+03 -4.808452144764963586e-05 -4.811350700367659529e-03 1.716315519628127577e-03

# time = 6.0-7.0 hrs
5.000000000000000000e+00 4.936336085222025119e-04 1.682777683568607158e-02 3.506560405821384022e-03
1.500000000000000000e+01 1.069410818860210780e-03 2.287364206954117449e-02 8.140398207826570268e-03
